column,total_tokens,unique_words,unique_lemmas,rare_unique_lemmas,domain_unique_lemmas,lost_lemmas,lost_lemmas_rare,lost_lemmas_domain,lost_lemmas_rare_domain
en,278162,13324,11026,8000,2288,0,0,0,0
es_en_DEEP,283945,12380,10241,7531,2093,1239,824,137,89
es_en_DEEPL,280904,12647,10474,7688,2137,1272,826,137,89
es_en_GOOGLE,283639,12288,10165,7484,2077,1247,832,140,91
es_en_OPUS,281021,12116,9988,7312,2044,1091,690,116,78
ar_en_DEEP,290411,11902,9755,7343,1717,1949,987,162,103
ar_en_DEEPL,276872,12545,10371,7679,1892,1915,989,148,96
ar_en_GOOGLE,290741,11835,9699,7316,1696,1970,1000,160,101
ar_en_OPUS,283004,11397,9350,7000,1721,1758,778,113,77
